title,bag_of_words
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 electronics Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 electronics Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model electronics Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 electronics Original 
Apple iPhone 11 Pro (Used),Uttara  Dhaka Used Apple iPhone 11 Pro electronics Original 
Xiaomi poco x3 pro 8!256 (Used),Chawkbazar  Chattogram Used Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 electronics Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 electronics Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model electronics Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 electronics Original 
Samsung Galaxy M30s (6/128) (New),Bagerhat  Khulna Division New Samsung Galaxy M30s electronics Original 
Apple iPhone 7 128GB@Flash Sale (New),Uttara  Dhaka New Apple iPhone 7 electronics Refurbished 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 electronics Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 electronics Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model electronics Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 electronics Original 
Vivo Y12s Ram 3GB Rom 32GB (New),Banani  Dhaka New Vivo Y12s electronics Original 
"Remax 10,000mAh à¦ªà¦¾à¦“à§Ÿà¦¾à¦° à¦¬à§à¦¯à¦¾à¦™à§à¦• à§¬ à¦®à¦¾à¦¸à§‡à¦° à¦“à§Ÿà¦¾à¦°à§‡à¦¨à§à¦Ÿà¦¿",Demra  Dhaka New Xiaomi Other model electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 electronics Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 electronics Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model electronics Original 
Apple iPhone 6 64 GB INTACT BOX (New),ElephantRoad  Dhaka New Apple iPhone 6 electronics Original 
Apple iPhone 6 64GB BIG OFFER (New),Mirpur  Dhaka New Apple iPhone 6 electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 electronics Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 electronics Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model electronics Original 
Samsung S20 Fe 8/128 White (Used),Uttara  Dhaka Used Samsung S20 Fe electronics Original 
Xiaomi Mi 10i(6/128)5G (Used),Badda  Dhaka Used Xiaomi Other model electronics Original 
LG g6 original fast charger 16.2watt type C,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 7 8/128 (Used),Rangamati  Chattogram Division Used OnePlus 7 electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 electronics Original 
Samsung Galaxy M30s (6/128) (New),Bagerhat  Khulna Division New Samsung Galaxy M30s electronics Original 
Apple iPhone 6S 64GB (New),Banglamotor  Dhaka New Apple iPhone 6S electronics Original 
Vivo Y1s 2/32 (Used),Mirpur  Dhaka Used Vivo Other Model electronics Original 
LG g6 original fast charger 16.2watt type C,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 7 8/128 (Used),Rangamati  Chattogram Division Used OnePlus 7 electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Apple iPhone 11 128GB Dual sim (Used),Khilgaon  Dhaka Used Apple iPhone 11 electronics Original 
Xiaomi Mi 3S 3/32 Finger+4G (New),Mirpur  Dhaka New Xiaomi Mi 3S electronics Original 
Vivo Y1s 2/32 (Used),Mirpur  Dhaka Used Vivo Other Model electronics Original 
LG g6 original fast charger 16.2watt type C,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 7 8/128 (Used),Rangamati  Chattogram Division Used OnePlus 7 electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Symphony V130 new phone (Used),PadmaResidentalArea  Rajshahi Used Symphony V130 electronics Original 
Xiaomi Redmi Note 5 4/64GB Friday à¦…à¦«à¦¾à¦° (New),JahajCompanyMore  Rangpur New Xiaomi Redmi Note 5 electronics Original 
Samsung Galaxy M30s (6/128) (New),Bagerhat  Khulna Division New Samsung Galaxy M30s electronics Original 
Vivo Y20 .. (Used),Saidpur  Rangpur Division Used Vivo Y20 electronics Original 
Vivo Y1s 2/32 (Used),Mirpur  Dhaka Used Vivo Other Model electronics Original 
LG g6 original fast charger 16.2watt type C,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 7 8/128 (Used),Rangamati  Chattogram Division Used OnePlus 7 electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 9R 12/256GB (New),Mirpur  Dhaka New OnePlus Other model electronics Original 
Realme 8(4G)OFFICIAL (New),Chawkbazar  Chattogram New Realme Other model electronics Original 
Samsung S20+ 2020 New Edition (Used),Khilkhet  Dhaka Used Samsung S20+ electronics Original 
Samsung Guru Music 2 (Used),Naogaon  Rajshahi Division Used Samsung Guru Music 2 electronics Original 
Vivo Y20 .. (Used),Saidpur  Rangpur Division Used Vivo Y20 electronics Original 
Vivo Y1s 2/32 (Used),Mirpur  Dhaka Used Vivo Other Model electronics Original 
LG g6 original fast charger 16.2watt type C,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 7 8/128 (Used),Rangamati  Chattogram Division Used OnePlus 7 electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Huawei Y3 II 1gb- 16gb (Used),Narayanganj  Dhaka Division Used Huawei Y3 II electronics Original 
Vivo Y11 .. (Used),Phultala  Khulna Used Vivo Y11 electronics Original 
Ipad original 12watt charger lightning type c,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 6 100% fresh 64 gb (New),Nattullabad  Barishal New Apple iPhone 6 electronics Original 
OPPO A5s full fresh 3/32 (Used),Mohammadpur  Dhaka Used OPPO A5s electronics Original 
Realme C15 4/64 full box (Used),Pabna  Rajshahi Division Used Realme C15 electronics Original 
Apple iPhone 4S (Used),Habiganj  Sylhet Division Used Apple iPhone 4S electronics Original 
akti mobile kinbo,Valuka  Mymensingh Used Xiaomi Other model electronics Original 
Samsung Guru Music 2 (Used),Naogaon  Rajshahi Division Used Samsung Guru Music 2 electronics Original 
Vivo Y20 .. (Used),Saidpur  Rangpur Division Used Vivo Y20 electronics Original 
Vivo Y1s 2/32 (Used),Mirpur  Dhaka Used Vivo Other Model electronics Original 
LG g6 original fast charger 16.2watt type C,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
OnePlus 7 8/128 (Used),Rangamati  Chattogram Division Used OnePlus 7 electronics Original 
Vivo V20 cover,Chawkbazar  Chattogram New Xiaomi Other model electronics Original 
Vivo u10 (3/32) (Used),Uttara  Dhaka Used Vivo Other Model electronics Original 
Realme 18watt fast charger,Mirpur  Dhaka Used Xiaomi Other model electronics Original 
Apple iPhone 8 Plus 64gb (Used),Jatrabari  Dhaka Used Apple iPhone 8 Plus electronics Original 
LG G6 4/64 (Used),KhulnaSadar  Khulna Used LG G6 electronics Original 
OPPO F17 Pro (Used),Daulatpur  Khulna Used OPPO F17 Pro electronics Original 
Symphony (Used),Savar  Dhaka Used Symphony Other model electronics Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦¦à¦°à¦•à¦¾à¦°,JahajCompanyMore  Rangpur Used Xiaomi Other model electronics Original 
Xiaomi Redmi 10 Prime (Used),Chuadanga  Khulna Division Used Xiaomi Redmi electronics Original 
Xiaomi Poco M2 2.5month (Used),Gaibandha  Rangpur Division Used Xiaomi Poco M2 electronics Original 
i phone/ one plus / xiaomi/ realme,Madaripur  Dhaka Division Used Xiaomi Other model electronics Original 
Nokia 2 (Used),Lakshmipur  Chattogram Division Used Nokia 2 electronics Original 
Need oneplus 7t,Rupsa  Khulna Used Xiaomi Other model electronics Original 
Realme (Used),Gazipur  Dhaka Division Used Realme Other model electronics Original 
Nokia 2.2 3gb32gb 4G (Used),Jhenaidah  Khulna Division Used Nokia 2.2 electronics Original 
Realme 5i (Used),Cumilla  Chattogram Division Used Realme 5i electronics Original 
Xiaomi Mi A3 2020 (Used),Jamalpur  Mymensingh Division Used Xiaomi Mi A3 electronics Original 
Samsung S20+ 2020 New Edition (Used),Khilkhet  Dhaka Used Samsung S20+ electronics Original 
OPPO F19 pro(8/128) (Used),Gazipur  Dhaka Division Used OPPO Other model electronics Original 
Realme C15 4/64 full box (Used),Pabna  Rajshahi Division Used Realme C15 electronics Original 
Apple iPhone 4S (Used),Habiganj  Sylhet Division Used Apple iPhone 4S electronics Original 
akti mobile kinbo,Valuka  Mymensingh Used Xiaomi Other model electronics Original 
Samsung Guru Music 2 (Used),Naogaon  Rajshahi Division Used Samsung Guru Music 2 electronics Original 
Vivo Y20 .. (Used),Saidpur  Rangpur Division Used Vivo Y20 electronics Original 
Vivo Y1s 2/32 (Used),Mirpur  Dhaka Used Vivo Other Model electronics Original 
